Term,Definition,CrossReferences,ImageFiles,Subject
Trial,"A trial is any repeatable procedure with a well-defined set of possible outcomes, known as the sample space. An example of a trial would be the flipping of a coin; the sample space would be
 {H, T}.

See also: probability, sample space",probability; sample space,,Mathematics
Triangular number,"A triangular number is an element of the set {1, 3, 6, 10, 15 …}. These numbers can be represented as dots that form a triangular array as shown below.

See also: square number",square number,triangular_number_1.png,Mathematics
Trigonometry,"Trigonometry is the study of measures related to triangles. Consider the following right-angled triangle, with hypotenuse , right angle, angle [FORMULA]  and sides [FORMULA] (opposite the angle [FORMULA] ) and [FORMULA] (adjacent to the angle [FORMULA] ) as shown:

The relation between the angle   and the lengths of the 3 sides are defined by the trigonometric ratios:

or equivalently:

Similarly, in the following right-angled triangle, with long side length 1 unit, and angle , the vertical side length is  and the horizontal side length is :

If the triangle is dilated by a factor  from the point at which the angle  is formed, then, by similarity:

with altitude (height) , base , and angle [FORMULA] as shown:

See also: sine (ratio), cosine (ratio), tangent (trigonometry)",sine (ratio); cosine (ratio); tangent (trigonometry),"trigonometry_1.png,trigonometry_2.gif,trigonometry_3.gif",Mathematics
Two-dimensional,"An object with width and length is two-dimensional. A polygon is an example of a two-dimensional geometric object.

See also: three-dimensional",three-dimensional,,Mathematics
Two-way table,[See: Karnaugh map],Karnaugh map,,Mathematics
Undefined term,"An undefined term is a term or expression taken as accepted without definition. These are the basic building blocks of mathematics. For example, element and set are undefined terms in algebra and logic, while point and line are undefined terms in geometry. Undefined terms may be characterised by informal description or illustrated by examples. Other mathematical terms and expressions are defined using undefined terms and relations on them.",,,Mathematics
Union (set),"Given 2 sets A and B, their union, written A ∪ B is the set of all elements that occur in either set, listed without repetition. For example, if A = { a , b , d , z } and B = { a , c , x , y , z } then A ∪ B = { a , b , c , d , x , y , z }.

See also: set",set,,Mathematics
Unit,"A unit is a basic or fundamental construct for counting and/or measurement. For example, the number 1 is the unit for counting (from the Latin unus for one). The metre is the standard unit for measurement of length in the metric system.",,,Mathematics
Unit fraction,"A unit fraction is a simple fraction whose numerator is 1, that is, a fraction of the form [FORMULA] , where [FORMULA] is a natural number. For example, [FORMULA]  [FORMULA] is a unit fraction but [FORMULA]  [FORMULA] is not a unit fraction.

See also: fraction",fraction,,Mathematics
Unit of repeat,"In a repeating pattern, the pattern sequence that is repeated within the pattern is called the unit of repeat: for example, 1234 in the pattern 1234123412341234...",,,Mathematics
Univariate data,"Univariate data is data relating to measurement of a single variable: for example, shoe size.

See also: data",data,,Mathematics
Universal set,"The set containing all objects or elements, including itself, within a given context is the universal set. The complement of the universal set is the empty set.

See also: complement (set), empty set, set",complement (set); empty set; set,,Mathematics
Unplugged,"A commonly used term for computational thinking activities carried out without digital technology, ‘unplugged’ representations of algorithms may include structured mathematical processes, English representations (steps) or flow charts.",,,Mathematics
Validate,"To validate is to check that data to be analysed is reasonable and fit for purpose. This can involve checking for accuracy, clarity, detail, consistency, correctness and completeness.",,,Mathematics
Variable,"A variable is a term used to designate an arbitrary element of a set. For example, if [FORMULA] is any natural number, then [FORMULA] is an odd natural number. The terms [FORMULA] and [FORMULA] are called variables. The rules of functions are often specified using variables for example, the function that takes a number, squares it then subtracts 3, can be specified in terms of the variables [FORMULA] and [FORMULA] as .

When investigating relationships in bivariate data, the explanatory variable is the variable that may explain or cause a difference in the response variable. For example, when investigating the relationship between the temperature of a loaf of bread and the time it has spent in a hot oven, temperature is the response variable and time is the explanatory variable.

With numerical bivariate data, it is common to attempt to model such relationships with a mathematic equation and to call the response variable the dependent variable and the explanatory variable the independent variable. When graphing numerical data, the convention is to display the response (dependent) variable on the vertical axis and the explanatory (independent) variable on the horizontal axis. When there is no clear causal link between the events, the classification of the variables as either the dependent or independent variable is quite arbitrary.

An arbitrary (free) variable is variable whose scope is not limited by a logical quantifier. Free variables frequently are used in proofs to represent an arbitrary element of a set.

See also: categorical variable, data, function, numerical data, numerical variable",categorical variable; data; function; numerical data; numerical variable,,Mathematics
Variable (algebra),"A variable is typically designated by a symbol, such as [FORMULA] or , to represent an unspecified member of some set. For example, the variable [FORMULA] could represent an unspecified real number.

See also: variable",variable,,Mathematics
Variable (statistics),"A variable is something measurable or observable that is expected to either change over time or between individual observations. Examples of variables in statistics include the age of students, hair colour or a playing field’s length or shape.​

See also: variable",variable,,Mathematics
Variation in data,"Variation in data is the characteristic that elements of a data set differ, for example, the differences in maximum temperature recorded at different suburbs of a town on a given day.",,,Mathematics
Venn diagram,"A Venn diagram is a graphical representation, using several typically overlapping closed curves, such as circles, of the relationship between elements of sets in relation to properties or attributes. They are drawn with respect to some specified universal set.

For example, consider the universal set of all students at a school, the set of girl students, and the set of students with brown hair. All students can be represented on a Venn diagram as shown below.

Venn diagrams are normally used where 2 or 3 sets are involved. In probability problems, Venn diagrams are used to represents subsets of a sample space for events.

See also: probability",probability,,Mathematics
"Vertex (angle, graph, shape)","A vertex (plural: vertices) is a point in the plane or in space where several edges meet, but do not extend beyond. For example, the corners of a triangle or the point of a cone are the vertices, as shown below.

See also: line segment",line segment,,Mathematics
Vertically opposite angle,"When 2 lines intersect, 4 angles are formed at the point of intersection. In the diagram, the angles marked ∠AOX and ∠BOY are called vertically opposite. Vertically opposite angles are equal.

See also: angle, vertex",angle; vertex,"vertically_opposite_angle_1.png,vertically_opposite_angle_2.png",Mathematics
Virtual materials,Dynamic digital representations of physical materials (sometimes called virtual manipulatives).,,,Mathematics
Visualisations,"Visualisations are visual formats for organising, representing and summarising data. They are also called data displays.",,,Mathematics
Volume,"Informally, volume is a measure of the extent of an object in three-dimensions, or the amount of space it encloses. Volume is usually measured with respect to a specified cube unit. Finding the volume of a regular object is usually based on measure of linear dimensions and then calculated using a formula based on those dimensions.

Some useful formulas for volume may be found in the following table.",,,Mathematics
Walk,"A walk is any sequential set of edges, connecting successive vertices, that connects any 2 vertices in a graph.",,walk_1.png,Mathematics
Weight,"Weight is the force experienced by an object and is found by multiplying the mass of an object [FORMULA] by the gravitational acceleration . The SI unit for weight is newtons (N). On Earth, [FORMULA] 9.8m/s2, while on the Moon, [FORMULA]  1.62 m/s2. An object with a mass of 1 kg would weigh 9.8 N on Earth, and 1.62 N on the Moon (around one-sixth as much).

See also: mass",mass,,Mathematics
x-axis,[See: Cartesian coordinate system],Cartesian coordinate system,,Mathematics
x,"The letter [FORMULA] is commonly used to designate a variable, often the independent variable, in an algebraic expression or equation, such as the rule of a function. For example, [FORMULA] is the variable in the function , or in the equation . When [FORMULA] is the independent variable of a relation, the horizontal coordinate axis in the Cartesian plane for a graph of the relation is commonly labelled the -axis.",,,Mathematics
y-axis,[See: Cartesian coordinate system],Cartesian coordinate system,,Mathematics
y,"The letter [FORMULA] is commonly used to designate a variable, often the dependent variable, in an algebraic expression or equation, such as the rule of a function. For example, [FORMULA] is a variable in the equations , or . Where [FORMULA] is the dependent variable of a relation, then the vertical coordinate axis in the Cartesian plane for a graph of the relation is commonly labelled the -axis.",,,Mathematics
z-axis,"The z-axis is commonly used as the third axis when considering the Cartesian plane in 3 dimensions: for example, in the study of curves in space.",,,Mathematics
Z,"The letter [FORMULA] is commonly used as the third variable (with [FORMULA] and ) to locate points in three-dimensional space. For example, the point located at coordinates (1, 2, 1) would be found at , [FORMULA] and",,,Mathematics
Zero,"The word zero comes from the Arabic word sifr, or cipher in English, which means a secret or disguised writing, or a symbol for a vacant place. The numeral 0 is used to denote the number zero.

As a result, zero plays 2 important roles in mathematics: as a number and as an empty place holder digit in the decimal expansion of numbers. For example, the digit 0 in the number 2057 indicates ‘no hundreds’ in the place value expansion of the number two thousand and fifty-seven or equivalently .

For sets, zero specifies the number of elements in an empty set (none). Although closely related, the number zero, 0, is not the same as the empty set, { }, which is sometimes represented by the special symbol, Ø to distinguish the set from the number. The empty set is a collection that has no elements. Zero indicates the number of elements in this set which is none.

Zero also corresponds to the origin on the real number line:

The point of intersection of the vertical and horizontal axes of the Cartesian coordinate system is also called the origin and designated by the letter O. This origin is specified by the coordinates (0, 0) and plays an important role in work on graphs of functions and other relations.

Zero has several important number properties.

For any real number , it is the case that [FORMULA] (zero is the identity element for addition) and that .

Zero is not a factor of any real number other than itself, and any real number is a factor of zero.

The arithmetic operation of division by zero is not well defined, and results in an error statement when this computation is attempted using technology.

The expression [FORMULA] is a fraction representation of the integer zero, as are the equivalent fractions [FORMULA]  The expression [FORMULA]  is said to be indeterminate, since an assumption that , where [FORMULA] is some real number, would imply 
, which is true for any real number. The expression [FORMULA]  is said to be inconsistent or undefined, since an assumption that [FORMULA] where [FORMULA] is some real number, would imply , which is false for all real numbers.

See also: Cartesian coordinate system, fraction, identity, real numbers",Cartesian coordinate system; fraction; identity; real numbers,"zero_1.png,zero_2.png",Mathematics
Zeroes of a function,"The zero/es of a function [FORMULA] sometimes referred to as the root/s, are the solution/s for that function such that . For a function in the Cartesian plane, these zeroes will correspond to the intercepts of the function with the -axis (when ).

For example, the function over [FORMULA] will have 3 zeroes at [FORMULA] and , corresponding to the solutions for [FORMULA] when .

See also: function, intercept (graphs)",function; intercept (graphs),,Mathematics
